timestep,Production,Injection,Pause,fluid_mass,temp,produced_T
194,1,0,0,1E7,50,45.139187657077
195,1,0,0,1E7,50,44.987212098349
196,1,0,0,1E7,50,44.83427851199
197,1,0,0,1E7,50,44.680473073729
198,1,0,0,1E7,50,44.525875524613
199,1,0,0,1E7,50,44.370585616307
200,1,0,0,1E7,50,44.21464737867
201,1,0,0,1E7,50,44.058190083302
202,1,0,0,1E7,50,43.90125233282
203,1,0,0,1E7,50,43.743949992099
204,1,0,0,1E7,50,43.586339290476
205,1,0,0,1E7,50,43.428499865025
206,1,0,0,1E7,50,43.270505271744
207,1,0,0,1E7,50,43.112431761923
208,1,0,0,1E7,50,42.954365676199
209,1,0,0,1E7,50,42.796383930228
210,1,0,0,1E7,50,42.638551093075
211,1,0,0,1E7,50,42.480927647695
212,1,0,0,1E7,50,42.323578717134
213,1,0,0,1E7,50,42.166569077819
214,1,0,0,1E7,50,42.009951812706
215,1,0,0,1E7,50,41.853789774436
216,1,0,0,1E7,50,41.698147511952
217,1,0,0,1E7,50,41.543082631961
218,1,0,0,1E7,50,41.388643708925
219,1,0,0,1E7,50,41.234888665918
220,1,0,0,1E7,50,41.081865702891
221,1,0,0,1E7,50,40.929618655434
222,1,0,0,1E7,50,40.778190122647
223,1,0,0,1E7,50,40.627665902624
224,1,0,0,1E7,50,40.478009965738
225,1,0,0,1E7,50,40.329291559853
226,1,0,0,1E7,50,40.181551379563
227,1,0,0,1E7,50,40.034821198821
228,1,0,0,1E7,50,39.889135255475
229,1,0,0,1E7,50,39.744525516406
230,1,0,0,1E7,50,39.6010246279
231,1,0,0,1E7,50,39.458672925915
232,1,0,0,1E7,50,39.317476547512
233,1,0,0,1E7,50,39.177463752452
234,1,0,0,1E7,50,39.038665724982
235,1,0,0,1E7,50,38.901099242421
236,1,0,0,1E7,50,38.764783868518
237,1,0,0,1E7,50,38.62972305633
238,1,0,0,1E7,50,38.49593671865
239,1,0,0,1E7,50,38.363445782125
240,1,0,0,1E7,50,38.232260777043
241,1,0,0,1E7,50,38.102400273273
242,1,0,0,1E7,50,37.973874643677
243,1,0,0,1E7,50,37.846700669671
244,1,0,0,1E7,50,37.720876561003
245,1,0,0,1E7,50,37.596412194873
246,1,0,0,1E7,50,37.473308540594
247,1,0,0,1E7,50,37.351556153367
248,1,0,0,1E7,50,37.231171823952
249,1,0,0,1E7,50,37.112153203692
250,1,0,0,1E7,50,36.994506504182
251,1,0,0,1E7,50,36.878236511043
252,1,0,0,1E7,50,36.76334484266
253,1,0,0,1E7,50,36.649825582958
254,1,0,0,1E7,50,36.537680841061
255,1,0,0,1E7,50,36.42690542183
256,1,0,0,1E7,50,36.317491924658
257,1,0,0,1E7,50,36.2094329954
258,1,0,0,1E7,50,36.102740353247
259,1,0,0,1E7,50,35.997381498993
260,1,0,0,1E7,50,35.893361615856
261,1,0,0,1E7,50,35.790678445501
262,1,0,0,1E7,50,35.689323279774
263,1,0,0,1E7,50,35.589294412211
264,1,0,0,1E7,50,35.490577620329
265,1,0,0,1E7,50,35.39316018523
266,1,0,0,1E7,50,35.297034475734
267,1,0,0,1E7,50,35.202207913065
268,1,0,0,1E7,50,35.108650661832
269,1,0,0,1E7,50,35.016360890783
270,1,0,0,1E7,50,34.92532570812
271,1,0,0,1E7,50,34.835538756585
272,1,0,0,1E7,50,34.746988963907
273,1,0,0,1E7,50,34.659665183462
274,1,0,0,1E7,50,34.654395451037
275,0,0,1,1E7,50,34.647899600956
276,0,0,1,1E7,50,34.640529929115
